UserID,University,StartTime,EndTime
2,University of Oklahoma,08/01/2016,08/09/2018
2,University of Virginia,7/13/2017,11/10/2019
3,University of Texas at Austin,1/29/2017,4/21/2018
4,University at Buffalo SUNY,05/04/2016,08/11/2019
5,Wake Forest University,1/23/2017,09/10/2018
5,Stanford University,9/27/2016,01/11/2018
8,"University of California, Los Angeles (UCLA)",07/09/2017,4/28/2019
10,"University of California, Los Angeles (UCLA)",3/13/2017,1/28/2018
12,"University of California, Irvine",08/06/2016,7/28/2018
12,University of Vermont,12/26/2016,2/15/2020
12,Dartmouth College,9/17/2016,11/18/2018
13,University of Pittsburgh,5/26/2017,7/22/2019
13,Vanderbilt University,5/29/2016,07/06/2019
14,University of Texas at Austin,10/17/2016,04/08/2019
19,University of Notre Dame,3/23/2017,5/21/2018
19,Indiana University Bloomington,9/18/2016,3/26/2018
20,University of South Florida,6/15/2016,01/08/2018
21,Georgia Institute of Technology,5/15/2016,4/26/2018
21,Arizona State University,11/20/2017,07/03/2019
23,University of Florida,06/11/2017,3/18/2018
23,"The University of Tennessee, Knoxville",06/09/2017,09/02/2019
24,University of Rochester,10/22/2016,07/06/2018
24,University of Florida,04/11/2017,08/10/2018
24,Case Western Reserve University,12/27/2017,9/21/2019
26,Clark University,5/20/2017,05/01/2018
27,University of Minnesota,12/10/2016,06/01/2018
27,Brown University,05/06/2017,01/04/2018
27,"The University of Tennessee, Knoxville",12/22/2016,06/11/2018
29,University of Chicago,06/07/2017,8/26/2019
29,Harvard University,05/12/2016,03/03/2018
33,University of Colorado Boulder,10/18/2016,6/23/2018
40,Oregon State University,11/18/2016,07/11/2019
40,University of Texas Dallas,2/21/2017,10/20/2019
40,"University of California, Berkeley (UCB)",5/19/2016,3/13/2018
42,University of Miami,8/28/2016,9/13/2019
42,Harvard University,12/11/2016,3/28/2020
43,"The University of Tennessee, Knoxville",6/24/2016,9/27/2019
43,Georgia Institute of Technology,6/17/2017,06/10/2019
43,"University of Maryland, Baltimore County",1/17/2017,12/17/2018
44,"University of California, Irvine",11/11/2016,05/04/2019
45,University of Iowa,5/17/2016,4/19/2020
45,University of Chicago,6/25/2017,08/09/2019
46,"University of California, Davis",03/12/2017,01/01/2019
46,"University of Maryland, Baltimore County",10/02/2016,7/26/2019
46,Vanderbilt University,5/23/2017,04/07/2020
49,Brandeis University,04/05/2017,8/31/2019
50,University of Pennsylvania,4/15/2017,02/08/2020
50,University of Texas at Austin,8/18/2017,11/10/2019
51,University of New Mexico,07/10/2017,10/09/2018
51,"University of Maryland, College Park",6/29/2016,05/10/2018
53,Oregon State University,09/06/2016,11/08/2019
53,Iowa State University,7/21/2016,11/16/2019
53,Washington State University,06/10/2016,03/06/2018
60,"The University of Tennessee, Knoxville",09/08/2017,6/25/2019
62,Rutgers University - New Brunswick,09/01/2016,2/20/2018
64,University of Colorado Boulder,4/28/2016,4/15/2018
64,University at Buffalo SUNY,12/20/2016,6/24/2018
64,Washington University in St. Louis,06/05/2017,11/14/2018
66,University of Massachusetts Amherst,08/05/2017,6/27/2019
67,Wake Forest University,1/20/2017,4/14/2020
71,The University of Arizona,11/06/2017,05/06/2019
73,Boston College,11/13/2016,02/03/2019
73,University of Texas at Austin,9/13/2016,04/07/2018
75,Georgetown University,06/02/2016,5/27/2018
76,University of New Mexico,03/02/2017,1/18/2019
76,New York University,11/09/2017,09/08/2018
76,"University of California, Irvine",12/24/2016,06/11/2018
77,Princeton University,07/02/2016,1/24/2019
77,Brandeis University,12/03/2016,3/20/2019
79,University of Utah,10/14/2017,1/30/2018
79,"University of Illinois, Chicago (UIC)",7/30/2017,10/10/2018
83,University at Buffalo SUNY,12/04/2017,03/07/2018
83,Case Western Reserve University,7/29/2017,04/07/2019
83,Rutgers University - New Brunswick,11/05/2016,03/07/2018
84,University of New Mexico,12/14/2017,10/07/2019
84,University of Colorado Boulder,8/16/2016,01/02/2020
84,Boston College,06/01/2016,10/26/2019
86,Princeton University,08/05/2016,12/19/2018
86,"University of California, Santa Cruz",11/22/2016,07/10/2019
88,University of Kansas,12/20/2016,11/30/2019
88,"University of Maryland, Baltimore County",11/12/2016,10/22/2018
95,"University of California, Riverside",09/03/2017,05/01/2019
97,Texas A&M University,11/11/2016,3/25/2019
97,The New School,10/28/2016,10/15/2018
97,Rutgers University - New Brunswick,7/17/2016,10/26/2018
99,"University of California, San Diego (UCSD)",11/02/2016,1/27/2018
101,"University of California, Irvine",08/01/2016,11/10/2019
108,Washington University in St. Louis,05/11/2017,08/09/2019
108,Carnegie Mellon University,6/27/2017,10/22/2019
109,University of Texas at Austin,4/21/2017,11/13/2019
110,University of Virginia,11/10/2016,6/16/2019
113,"University of California, Irvine",3/26/2017,10/30/2018
115,University of Wisconsin-Madison,3/26/2017,12/25/2018
115,Tufts University,07/07/2016,4/21/2019
116,University of Massachusetts Amherst,6/17/2017,03/02/2018
119,Yale University,02/10/2017,10/22/2019
121,Johns Hopkins University,10/26/2016,12/12/2018
121,University of Massachusetts Amherst,12/05/2017,07/05/2019
121,"University of California, San Diego (UCSD)",11/01/2017,12/24/2019
124,Arizona State University,10/13/2017,12/02/2018
125,Howard University,7/25/2016,4/26/2020
125,Lehigh University,9/17/2017,04/01/2020
126,Wake Forest University,8/22/2016,10/06/2018
130,University of Massachusetts Amherst,10/28/2016,04/08/2018
130,Tufts University,09/12/2017,5/16/2019
132,Indiana University Bloomington,3/19/2017,1/27/2018
135,George Washington University,07/07/2017,2/27/2020
135,University of Florida,2/20/2017,5/20/2018
135,Rutgers University - New Brunswick,11/16/2017,11/24/2019
136,"University of Illinois, Chicago (UIC)",7/31/2016,3/17/2020
136,Rutgers University - New Brunswick,01/10/2017,11/10/2018
137,Wake Forest University,10/16/2017,08/07/2018
138,"University of Illinois, Chicago (UIC)",07/07/2016,12/25/2019
138,University of Delaware,8/23/2016,4/13/2019
139,California Institute of Technology (Caltech),5/28/2016,1/27/2019
139,"University of Maryland, Baltimore County",05/03/2016,10/26/2018
139,Wayne State University,06/11/2017,10/07/2019
141,Massachusets Institute of Technology,12/29/2016,04/09/2018
144,The Ohio State University,10/27/2017,1/22/2020
144,University of Wisconsin-Madison,07/02/2016,03/12/2019
144,University of Colorado Boulder,06/09/2016,06/06/2018
146,Georgia Institute of Technology,08/12/2016,12/05/2018
146,Virginia Polytechnic Institute and State University,5/16/2017,6/23/2018
146,Indiana University Bloomington,4/16/2017,4/27/2018
150,Georgetown University,10/25/2016,04/04/2018
153,University of Pittsburgh,6/18/2016,11/12/2018
153,"University of California, Santa Cruz",11/30/2016,09/02/2019
154,"The University of Tennessee, Knoxville",09/10/2016,2/21/2020
154,University of Texas Dallas,07/12/2017,02/04/2019
154,Georgia Institute of Technology,6/15/2017,07/04/2018
157,"University of Colorado, Denver",2/18/2017,2/24/2020
157,Yale University,9/24/2016,10/15/2019
157,"University of Maryland, College Park",8/21/2016,7/23/2018
160,Colorado State University,10/22/2017,11/09/2018
161,University of Illinois at Urbana-Champaign,7/29/2017,09/06/2019
165,George Washington University,03/08/2017,12/24/2019
165,"University of California, San Diego (UCSD)",10/25/2016,3/30/2018
170,Virginia Polytechnic Institute and State University,9/14/2016,03/01/2019
173,Iowa State University,08/08/2016,5/30/2019
173,University of Iowa,02/12/2017,4/27/2018
178,"University of California, Santa Cruz",4/30/2016,02/05/2020
180,Northeastern University,6/14/2016,10/26/2019
182,Iowa State University,12/30/2016,7/28/2018
184,"University of California, Santa Cruz",03/03/2017,12/11/2018
184,New York University,05/03/2017,5/21/2019
185,Dartmouth College,11/30/2016,3/26/2018
185,Northwestern University,9/16/2016,4/19/2018
