UserID,Workplace,StartTime,EndTime
1,AECOM,12/03/2016,05/12/2018
3,21st Century Fox,5/29/2016,02/04/2019
3,Apple Inc.,11/11/2016,08/03/2019
3,Metro Cash&Carry,6/29/2017,4/16/2019
4,Telekom,08/02/2016,08/09/2018
4,ExxonMobil,06/01/2017,2/21/2018
4,Carrefour,5/26/2017,02/05/2020
5,21st Century Fox,6/16/2016,2/20/2018
8,Carrefour,12/18/2017,9/19/2018
8,Global Print,8/29/2017,1/20/2019
8,Comodo,6/21/2017,2/20/2018
9,Zepter,12/08/2017,06/06/2019
9,BuzzFeed,03/05/2017,3/13/2020
9,ENEL,06/02/2016,8/14/2018
12,21st Century Fox,3/14/2017,10/03/2019
12,BuzzFeed,12/01/2017,10/16/2019
13,Boeing,12/16/2016,04/07/2018
16,AECOM,03/01/2017,1/27/2018
16,Boeing,2/22/2017,12/27/2019
19,Boeing,4/19/2017,4/25/2020
20,ENEL,09/12/2016,2/21/2019
22,BuzzFeed,3/31/2017,02/10/2019
23,Zepter,10/01/2016,1/22/2020
23,Comcast,02/09/2017,4/15/2019
23,ExxonMobil,11/18/2016,01/10/2020
26,Comodo,12/14/2016,3/22/2018
26,It Smart Group,12/14/2017,05/04/2018
28,Danone,05/01/2017,12/13/2018
28,UPC,12/11/2017,6/14/2018
28,Facebook,12/31/2016,01/12/2018
33,Global Print,1/19/2017,9/27/2019
33,Facebook,12/23/2016,3/17/2019
34,DynCorp,11/13/2017,4/20/2018
36,Areon Impex,7/26/2017,3/24/2019
36,It Smart Group,12/23/2016,9/23/2019
37,Comcast,4/30/2016,11/02/2019
37,Telekom,10/25/2017,2/17/2018
37,DynCorp,03/03/2017,10/31/2018
39,Coca-Cola Company,11/29/2016,11/26/2018
39,Boeing,10/18/2016,4/17/2018
40,BuzzFeed,9/26/2016,8/13/2018
41,Comcast,05/02/2016,2/18/2020
41,ENEL,9/13/2016,5/17/2018
44,Comodo,05/10/2017,11/18/2019
44,Coca-Cola Company,10/12/2016,4/16/2020
47,Vodafone,03/05/2017,11/27/2018
48,ENEL,8/20/2017,8/13/2019
51,21st Century Fox,1/15/2017,07/08/2018
51,DynCorp,5/29/2017,11/28/2018
52,Vodafone,12/20/2017,08/07/2019
52,Team Guard SRL,09/01/2016,5/21/2019
52,Demaco,6/14/2017,9/28/2019
53,Biolife Grup,09/04/2016,05/10/2019
53,Comodo,6/28/2017,1/19/2019
55,DynCorp,5/25/2017,07/12/2018
57,Telekom,10/02/2017,3/21/2018
57,AECOM,08/05/2017,5/28/2019
57,CarMax,09/12/2017,4/29/2019
62,Biolife Grup,12/24/2016,10/21/2019
62,Demaco,9/18/2017,10/14/2018
62,Areon Impex,07/11/2016,07/06/2019
65,Mars,10/18/2016,08/12/2018
65,Metro Cash&Carry,04/06/2017,7/31/2018
66,Coca-Cola Company,11/03/2017,10/17/2018
66,Comcast,08/08/2016,3/24/2018
66,BuzzFeed,5/24/2016,10/16/2018
69,Areon Impex,04/09/2017,3/29/2018
69,Erickson,11/18/2017,11/27/2019
72,Boeing,10/19/2017,12/23/2019
72,21st Century Fox,04/11/2017,12/24/2018
72,Coca-Cola Company,07/05/2017,6/26/2018
73,AECOM,1/22/2017,10/17/2019
73,Coca-Cola Company,2/21/2017,9/14/2018
73,Areon Impex,12/23/2017,07/06/2018
74,Comodo,5/26/2017,08/02/2019
75,Metro Cash&Carry,7/22/2016,02/08/2019
75,Facebook,07/07/2017,10/01/2018
79,Apple Inc.,09/10/2016,4/24/2019
80,Demaco,10/20/2017,2/23/2020
80,Biolife Grup,8/19/2016,6/15/2019
82,Amazon.com,10/26/2016,4/18/2018
82,Erickson,05/11/2016,11/22/2019
84,Global Print,10/11/2017,05/05/2018
86,UPC,11/22/2016,12/12/2019
86,Zepter,5/22/2016,12/21/2019
86,Carrefour,7/21/2016,7/20/2018
88,Mars,12/29/2016,11/15/2019
88,It Smart Group,04/10/2017,10/01/2019
88,UPC,07/02/2016,2/24/2019
89,BuzzFeed,3/22/2017,03/03/2018
89,Facebook,3/17/2017,09/08/2018
90,Team Guard SRL,4/25/2017,3/25/2019
90,Metro Cash&Carry,12/11/2016,3/20/2018
90,21st Century Fox,01/03/2017,02/08/2019
91,Areon Impex,3/15/2017,3/31/2020
91,Telekom,4/19/2017,8/31/2018
91,Comodo,9/16/2016,8/31/2018
93,Coca-Cola Company,10/28/2016,3/26/2019
96,Telekom,5/19/2017,04/08/2018
96,Erickson,5/14/2017,08/11/2019
97,AECOM,9/23/2017,2/25/2020
99,Areon Impex,10/01/2017,4/19/2019
100,CarMax,6/30/2017,2/15/2018
100,Team Guard SRL,03/03/2017,06/03/2019
101,Carrefour,11/05/2016,01/11/2019
107,Biolife Grup,9/14/2016,11/29/2019
108,Danone,12/29/2017,10/08/2018
109,Mars,11/15/2016,11/29/2019
112,Vodafone,12/14/2017,8/17/2018
113,DynCorp,12/15/2016,11/18/2019
113,Biolife Grup,12/28/2016,01/08/2018
113,Comodo,5/16/2017,2/13/2019
116,CarMax,04/02/2017,04/01/2020
117,Facebook,4/17/2017,12/22/2019
117,Biolife Grup,10/25/2016,7/30/2019
118,UPC,9/15/2017,5/16/2018
119,Amazon.com,4/19/2017,9/28/2018
119,Global Print,9/16/2016,4/20/2020
119,Erickson,05/05/2017,4/19/2020
121,It Smart Group,06/10/2016,02/03/2018
122,ExxonMobil,8/30/2016,12/10/2018
122,DynCorp,4/29/2016,04/03/2020
126,CarMax,07/10/2016,10/25/2019
129,Demaco,03/11/2017,04/07/2019
129,DynCorp,03/05/2017,11/20/2018
129,Carrefour,03/11/2017,7/19/2018
132,ExxonMobil,09/05/2017,11/08/2018
132,CarMax,03/05/2017,1/13/2020
